Visibility,Traits ID,Locality ID,Locality Name,Locality Description,Continent,Contributor,Latitude,Longitude,Elevation,Location Source,Lat Lng Km2,Political Region1,Political Region2,Political Region3,Total Ant Abundance,Total Ant Species Richness,Total Native Species Richness,Total Non Native Species Richness,Number Of Sampling Events,Start Date Day,Start Date Month,Start Date Year,End Date Day,End Date Month,End Date Year,Total Number Of Transects,Length,Width,Plot Transect Separation,Method,Method Description,Pitfall Number,Pitfall Surface Area,Pitfall Spacing,Pitfall Duration,Baits Number,Bait Stations Number,Baits Spacing,Baits Duration,Winkler Number,Winkler Spacing,Berlese Number,Berlese Spacing,Total Litter Sample Volume,Total Litter Sample Area,Habitat Type,Disturbance,Disturbance Type1,Disturbance Type2,Habitat Description,Notes,Genus,Species,Invasive To Political Region1,Morphospecies,Caste,N,Hind femur length (mm),Whole body length (mm),Diet,username,Date Of Upload,Batch,Batch Name
Public,Gibb_2011_traits_0,NA,NA,NA,NA,NA,64.1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptothorax,acervorum,Native*,FALSE,Worker,1,0.24691358,1.35,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_1,NA,NA,NA,NA,NA,64.1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptothorax,acervorum,Native*,FALSE,Worker,1,0.200617284,1.29,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_2,NA,NA,NA,NA,NA,64.1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptothorax,acervorum,Native*,FALSE,Worker,1,0.239197531,1.47,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_3,NA,NA,NA,NA,NA,64.1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptothorax,acervorum,Native*,FALSE,Worker,1,0.231481481,1.37,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_4,NA,NA,NA,NA,NA,64.2563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptothorax,acervorum,Native*,FALSE,Worker,1,0.239197531,1.41,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_5,NA,NA,NA,NA,NA,64.2563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptothorax,acervorum,Native*,FALSE,Worker,1,0.231481481,1.45,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_6,NA,NA,NA,NA,NA,64.2563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptothorax,acervorum,Native*,FALSE,Worker,1,0.216049383,1.27,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_7,NA,NA,NA,NA,NA,64.2563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptothorax,acervorum,Native*,FALSE,Worker,1,0.231481481,1.35,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_8,NA,NA,NA,NA,NA,64.2813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptothorax,acervorum,Native*,FALSE,Worker,1,0.223765432,1.33,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_9,NA,NA,NA,NA,NA,64.3438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptothorax,acervorum,Native*,FALSE,Worker,1,0.24691358,1.35,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_10,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,1.104,3.4,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
