Family Species Size Temperature NPP Aridity pH
"Philosciidae" Atlantoscia floridana 0.845 21.1 11.77 0.66 6.0 
"Philosciidae" Benthana convexa 0.954 19.3 11.91 0.94 5.0 
"Philosciidae" Benthana dimorpha 0.845 24.2 11.81 0.74 5.0 
"Philosciidae" Benthana longicornis 1.017 14.9 11.90 1.32 5.1 
"Philosciidae" Benthana moreirai 1.176 21.1 11.87 0.76 5.3 
"Philosciidae" Benthana picta 1.079 18.9 11.90 1.05 5.0 
"Philosciidae" Benthana taeniata 1.024 19.5 11.89 1.13 5.3 
"Philosciidae" Benthana trinodulata 1.064 19.5 11.89 1.13 5.3 
"Philosciidae" Pseudophiloscia haradai 0.708 14.5 11.16 1.25 6.2 
"Philosciidae" Pseudophiloscia tsukamotoi 0.653 14.9 11.82 2.52 5.9 
Agnaridae Agnara fragilis 0.903 26.9 11.79 1.29 6.0 
Agnaridae Agnara lurida 0.806 8.0 11.66 1.89 5.9 
Agnaridae Agnara madagascariensis 0.699 26.1 10.51 0.06 7.0 
Agnaridae Agnara nishikawai 0.826 13.8 11.55 1.93 6.0 
Agnaridae Agnara pannuosa 0.785 10.9 11.44 1.26 6.0 
Agnaridae Agnara ryukyuensis 0.613 8.0 11.66 1.89 5.9 
Agnaridae Agnara taprobanica 1.000 26.9 11.79 1.29 6.0 
Agnaridae Agnara zhangi 0.748 16.5 11.45 0.70 5.4 
Agnaridae Desertoniscus subterraneus 0.875 13.3 10.86 0.17 7.0 
Agnaridae Hemilepistus zachvatkini 1.190 13.8 10.95 0.21 8.0 
Agnaridae Koreoniscus racovitzai 1.114 10.4 11.44 1.22 6.0 
Agnaridae Lucasioides boninshimensis 1.021 14.5 11.16 1.25 6.2 
Agnaridae Lucasioides daliensis 0.690 16.5 11.45 0.70 5.4 
Agnaridae Lucasioides gigliotosi 1.017 11.0 11.45 1.25 6.0 
Agnaridae Lucasioides hachijoensis 1.025 14.5 11.16 1.25 6.2 
Agnaridae Lucasioides kobarii 0.934 13.8 11.55 1.93 6.0 
Agnaridae Lucasioides longicaudatus 0.881 16.5 11.45 0.70 5.4 
Agnaridae Lucasioides minakatai 0.903 15.8 11.25 1.36 6.1 
Agnaridae Lucasioides minatoi 0.869 15.3 11.56 2.08 5.7 
Agnaridae Lucasioides nebulosus 0.756 14.5 11.16 1.25 6.2 
Agnaridae Lucasioides nichinanensis 1.127 15.3 11.56 2.08 5.7
Agnaridae Lucasioides nishimurai 0.996 13.8 11.55 1.93 6.0 
Agnaridae Lucasioides pedimaculatus 0.929 16.5 11.45 0.70 5.4 
Agnaridae Lucasioides sakimori 0.954 15.3 11.56 2.08 5.7 
Agnaridae Lucasioides sinuosus 1.021 13.5 11.76 2.72 6.0 
Agnaridae Lucasioides tokyoensis 0.875 13.8 11.55 1.93 6.0 
Agnaridae Lucasioides xiaoi 0.863 16.5 11.45 0.70 5.4 
Agnaridae Mongoloniscus circacaudatus 0.732 13.1 11.70 1.63 6.0 
Agnaridae Mongoloniscus hokurikuensis 0.756 13.8 11.55 1.93 6.0 
Agnaridae Mongoloniscus katakurai 0.833 14.5 11.16 1.25 6.2 
Agnaridae Mongoloniscus koreanus 0.968 13.3 11.47 1.33 6.0 
Agnaridae Mongoloniscus masahitoi 0.778 14.5 11.16 1.25 6.2 
Agnaridae Mongoloniscus satsumaensis 1.017 13.8 11.55 1.93 6.0 
Agnaridae Mongoloniscus tangoensis 0.903 15.8 11.25 1.36 6.1 
Agnaridae Mongoloniscus vannamei 0.903 11.6 11.40 1.15 6.0 
Agnaridae Orthometopon dalmatinum 1.079 12.0 11.47 1.04 7.0 
Agnaridae Orthometopon ferrarai 1.114 16.1 11.01 0.21 7.0 
Agnaridae Orthometopon hydrense 0.813 10.7 11.46 0.80 7.0 
Agnaridae Orthometopon kerkinianum 0.813 14.8 11.39 0.42 7.2 
Agnaridae Orthometopon phaleronense 0.845 13.8 11.24 1.03 7.0 
Agnaridae Orthometopon planum 1.000 10.3 11.49 0.84 7.0 
Agnaridae Orthometopon scheuerni 1.190 16.3 11.29 0.47 7.0 
Agnaridae Orthometopon turcicum 0.954 13.3 11.32 0.57 6.5 
Agnaridae Protracheoniscus asiaticus 0.845 14.2 10.86 0.18 8.0 
Agnaridae Protracheoniscus desertorum 1.146 14.2 10.86 0.18 8.0 
Agnaridae Protracheoniscus fossuliger 1.041 11.9 11.50 0.96 7.0 
Agnaridae Protracheoniscus hermagorensis 0.813 9.1 11.53 1.47 6.0 
Agnaridae Protracheoniscus hirsutulus 0.778 10.9 11.17 0.52 7.6 
Agnaridae Protracheoniscus kerkanus 0.778 10.7 11.63 1.09 5.5 
Agnaridae Protracheoniscus komareki 0.778 11.3 11.50 0.46 7.2 
Agnaridae Protracheoniscus latus 1.204 11.2 11.01 0.49 7.5 
Agnaridae Protracheoniscus major 1.255 9.5 11.47 0.70 7.0 
Agnaridae Protracheoniscus maracandicus 0.929 13.8 10.95 0.21 8.0 
Agnaridae Protracheoniscus marmaranus 0.653 12.8 11.49 0.72 7.0 
Agnaridae Protracheoniscus nogaicus 0.903 9.0 11.47 0.64 7.7 
Agnaridae Protracheoniscus politus 0.954 8.3 11.42 0.73 6.0 
Agnaridae Protracheoniscus scythicus 0.778 9.0 11.47 0.64 7.7 
Agnaridae Protracheoniscus taschkentensis 0.845 13.2 11.09 0.28 8.0 
Agnaridae Protracheoniscus ubliensis 0.699 10.7 11.60 0.98 6.0 
Agnaridae Tritracheoniscus cerrutii 0.903 13.5 11.68 0.92 6.5
Armadillidae Acanthodillo agasketos 0.845 22.6 10.73 0.11 7.2 
Armadillidae Acanthodillo formicarum 0.699 17.9 11.35 0.32 7.2 
Armadillidae Acanthodillo kioloa 0.653 17.9 11.35 0.32 7.2 
Armadillidae Armadillo albomarginatus 1.041 18.8 10.42 0.04 8.0 
Armadillidae Armadillo albus 0.813 20.1 11.45 0.42 7.0 
Armadillidae Armadillo alievi 0.929 13.6 11.05 0.39 7.5
Armadillidae Armadillo almerius 1.146 16.8 11.07 0.48 7.1 
Armadillidae Armadillo carmelensis 1.114 19.9 11.25 0.41 7.0 
Armadillidae Armadillo erythroleucus 1.230 11.7 11.38 0.56 7.4 
Armadillidae Armadillo jordanius 1.000 17.3 10.77 0.25 8.0 
Armadillidae Armadillo kinzelbachi 1.041 18.0 10.68 0.12 8.0 
Armadillidae Armadillo moncayotus 1.000 16.7 11.20 0.41 7.7 
Armadillidae Armadillo montanus 0.954 19.6 10.38 0.09 8.0 
Armadillidae Armadillo officinalis 1.301 17.2 11.33 0.49 7.0 
Armadillidae Armadillo platypleon 1.230 17.0 10.71 0.23 8.0 
Armadillidae Armadillo sordidus 1.079 19.6 11.42 0.47 7.0 
Armadillidae Armadillo troglophilus 1.079 19.0 11.40 0.73 7.3 
Armadillidae Armadillo tuberculatus 1.176 15.1 11.28 0.47 7.0 
Armadillidae Australiodillo insularis 1.079 17.9 11.35 0.32 7.2 
Armadillidae Australiodillo primitivus 1.000 17.9 11.35 0.32 7.2 
Armadillidae Cristarmadillo arcangelii 0.813 24.9 11.81 1.01 5.0 
Armadillidae Ctenorillo gabunensis 0.740 25.0 11.85 1.19 5.0 
Armadillidae Ctenorillo strinatii 0.778 24.9 11.81 1.01 5.0 
Armadillidae Cubaris alticola 0.699 17.7 11.61 1.21 6.0 
Armadillidae Cubaris chiltoni 0.778 26.8 11.70 1.98 5.7 
Armadillidae Cubaris dhaliwali 0.978 17.9 11.35 0.32 7.2 
Armadillidae Cubaris emunita 0.845 27.9 11.48 0.70 5.8 
Armadillidae Cubaris everesti 0.699 19.3 11.61 0.83 6.0 
Armadillidae Cubaris nepalensis 0.813 19.3 11.61 0.83 6.0 
Armadillidae Cubaroides pilosus 0.845 17.9 11.35 0.32 7.2 
Armadillidae Cuckoldillo episcopalis 0.699 23.7 11.04 0.26 7.7 
Armadillidae Dryadillo rectifrons 0.903 26.3 11.88 0.64 6.0 
Armadillidae Filippinodillo kimberleyensis 1.000 22.6 10.73 0.11 7.2 
Armadillidae Laureola canberrensis 1.041 9.2 11.86 0.74 6.0 
Armadillidae Laureola indica 0.813 26.8 11.70 1.98 5.7 
Armadillidae Laureola silvatica 0.845 17.9 11.35 0.32 7.2 
Armadillidae Laureola vietnamensis 0.903 24.2 11.59 1.36 6.4 
Armadillidae Lobodillo hunti 1.322 17.9 11.35 0.32 7.2 
Armadillidae Merulana boydensis 1.041 17.9 11.35 0.32 7.2 
Armadillidae Merulana hispida 1.114 17.9 11.35 0.32 7.2 
Armadillidae Nesodillo annandalei 1.061 26.0 12.01 1.94 5.0 
Armadillidae Nesodillo monticola 1.061 9.1 10.92 3.62 5.6 
Armadillidae Nesodillo silvestris 0.778 23.5 11.98 1.94 6.0 
Armadillidae Orthodillo chiltoni 0.699 17.9 11.35 0.32 7.2 
Armadillidae Parakermania maculata 0.301 23.4 11.75 1.29 5.9 
Armadillidae Pseudodiploexochus madagascariensis 0.544 19.9 11.68 0.95 5.2 
Armadillidae Pseudolaureola wilsmorei 0.778 22.6 10.73 0.11 7.2 
Armadillidae Pyrgoniscus lanceolatus 1.079 26.0 11.20 0.39 6.3 
Armadillidae Pyrgoniscus scopelicus 1.152 17.9 11.35 0.32 7.2 
Armadillidae Schismadillo ashtoni 0.699 13.5 11.61 0.52 6.6 
Armadillidae Schismadillo holthuisi 0.845 9.1 10.92 3.62 5.6
Armadillidae Schismadillo tuberculatus 0.845 9.1 10.92 3.62 5.6 
Armadillidae Sinodillo goalingoshanensis 0.699 16.5 11.45 0.70 5.4 
Armadillidae Sinodillo longistylus 0.580 16.5 11.45 0.70 5.4 
Armadillidae Sinodillo schmalfussi 0.699 16.5 11.45 0.70 5.4 
Armadillidae Sinodillo tuberculatus 0.982 16.5 11.45 0.70 5.4 
Armadillidae Spherillo grossus 1.000 20.8 11.20 0.29 7.5 
Armadillidae Spherillo nomurai 0.748 16.5 11.45 0.70 5.4 
Armadillidae Spherillo orientalis 0.903 16.5 11.45 0.70 5.4 
Armadillidae Spherillo pomarius 0.602 24.7 11.86 2.61 5.5 
Armadillidae Stigmops odontotergina 0.732 17.9 11.35 0.32 7.2 
Armadillidae Stigmops polyvelota 0.949 17.9 11.35 0.32 7.2 
Armadillidae Synarmadillo aelleni 1.204 25.0 11.85 1.19 5.0 
Armadillidae Synarmadillo albinotatus 1.000 25.2 11.72 1.82 6.0 
Armadillidae Synarmadillo caecus 0.477 24.0 11.73 1.04 5.0 
Armadillidae Synarmadillo clausus 1.204 26.1 11.80 0.87 5.0 
Armadillidae Synarmadillo cristifrons 1.079 25.2 11.72 1.82 6.0 
Armadillidae Synarmadillo endogaeus 0.398 25.3 11.97 1.28 5.6 
Armadillidae Synarmadillo flavus 0.740 25.2 11.72 1.82 6.0 
Armadillidae Synarmadillo globus 1.398 23.9 11.31 2.07 6.0 
Armadillidae Synarmadillo parvulus 0.477 26.7 11.63 0.65 6.0 
Armadillidae Synarmadillo schlegeli 1.097 25.2 11.72 1.82 6.0 
Armadillidae Synarmadillo taitii 0.447 25.2 11.72 1.82 6.0 
Armadillidae Togarmadillo monocellatus 0.602 25.2 11.72 1.82 6.0 
Armadillidae Troglodillo rotundatus 1.114 20.9 11.47 1.27 5.9 
Armadillidae Venezillo albus 0.724 13.1 11.70 1.63 6.0 
Armadillidae Venezillo berlandi 0.602 24.7 10.73 0.14 7.5 
Armadillidae Venezillo boninensis 0.699 14.5 11.16 1.25 6.2 
Armadillidae Venezillo dorsalis 0.949 14.9 11.70 2.08 6.0 
Armadillidae Venezillo elegans 0.820 15.3 11.56 2.08 5.7 
Armadillidae Venezillo lepidus 0.886 15.3 11.56 2.08 5.7 
Armadillidae Venezillo longispinus 0.903 15.8 11.25 1.36 6.1 
Armadillidae Venezillo russoi 0.886 13.8 11.55 1.93 6.0 
Armadillidiidae Alloschizidium campanellii 0.544 9.1 11.63 1.52 5.6 
Armadillidiidae Alloschizidium cottarellii 0.602 11.3 11.65 1.22 6.0 
Armadillidiidae Alloschizidium igiliense 0.477 14.0 11.65 0.80 6.6 
